review_text,label
Unbelievable! top-rated product ever. Shop today quickly.,fake
"Overall, the camera works well. Unfortunately, battery issues.",genuine
Buy now: top-rated product ever. special price!,fake
I am having connectivity drops with this device. Not what I expected.,bulu bulu,genuine
I was disappointed by the connectivity drops. Hope it gets fixed.,genuine
"I've never seen such an unbeatable bargain. Get it now now, incredible item.",fake
"Great camera, however I experienced software bugs recently.",genuine
"The screen is solid, but it lack some features.",genuine
Get it now: most amazing product ever. special price!,fake
This is the most amazing product ever! Get it now for an special price.,fake
Buy now: top-rated product ever. special price!,fake
Don't miss out! limited time offer on the most amazing product ever. Order immediately.,fake
Unbelievable! most amazing product ever. Order immediately quickly.,fake
"The screen is excellent, but customer service was slow.",genuine
Shop today: best product ever. huge discount!,fake
"Overall, the battery works well. Unfortunately, battery issues.",genuine
I was disappointed by the overheating problems. I might return it.,genuine
"Overall, the battery works well. Unfortunately, battery issues.",genuine
I am having connectivity drops with this device. It's very frustrating.,genuine
"Great battery, however I experienced connectivity drops recently.",genuine
"Great user interface, however I experienced battery issues recently.",genuine
Unbelievable! top-rated product ever. Buy now quickly.,fake
"Great battery, however I experienced battery issues recently.",genuine
"The build quality is excellent, but it lack some features.",genuine
Get it now: best product ever. special price!,fake
"Overall, the battery works well. Unfortunately, overheating problems.",genuine
"I've never seen such an limited time offer. Shop today now, most amazing item.",fake
"Great build quality, however I experienced delivery delays recently.",genuine
Unbelievable! greatest product ever. Order immediately quickly.,fake
"Great battery, however I experienced battery issues recently.",genuine
"Great battery, however I experienced battery issues recently.",genuine
This is the greatest product ever! Get it now for an amazing deal.,fake
"The camera is decent, but it feels a bit heavy.",genuine
Don't miss out! limited time offer on the best product ever. Shop today.,fake
This is the top-rated product ever! Limited offer for an special price.,fake
Limited offer: best product ever. unbeatable bargain!,fake
Buy now: incredible product ever. amazing deal!,fake
"I've never seen such an unbeatable bargain. Limited offer now, incredible item.",fake
"Overall, the build quality works well. Unfortunately, software bugs.",genuine
"The build quality is solid, but it lack some features.",genuine
I was disappointed by the battery issues. It's very frustrating.,genuine
"The screen is solid, but the price is too high.",genuine
"Great build quality, however I experienced connectivity drops recently.",genuine
I was disappointed by the connectivity drops. Hope it gets fixed.,genuine
I am having connectivity drops with this device. Hope it gets fixed.,genuine
I am having software bugs with this device. Hope it gets fixed.,genuine
"Overall, the camera works well. Unfortunately, delivery delays.",genuine
Get it now: incredible product ever. amazing deal!,fake
"Great build quality, however I experienced battery issues recently.",genuine
I was disappointed by the connectivity drops. Not what I expected.,genuine
"I've never seen such an special price. Get it now now, top-rated item.",fake
"Overall, the screen works well. Unfortunately, overheating problems.",genuine
Don't miss out! limited time offer on the most amazing product ever. Get it now.,fake
"Overall, the build quality works well. Unfortunately, overheating problems.",genuine
This is the best product ever! Get it now for an unbeatable bargain.,fake
This is the incredible product ever! Buy now for an unbeatable bargain.,fake
This is the incredible product ever! Buy now for an amazing deal.,fake
Don't miss out! huge discount on the greatest product ever. Order immediately.,fake
Limited offer: top-rated product ever. limited time offer!,fake
I was disappointed by the delivery delays. Not what I expected.,genuine
"The screen is decent, but customer service was slow.",genuine
Unbelievable! most amazing product ever. Limited offer quickly.,fake
"I've never seen such an special price. Order immediately now, top-rated item.",fake
"The user interface is solid, but it feels a bit heavy.",genuine
Don't miss out! amazing deal on the incredible product ever. Get it now.,fake
Don't miss out! huge discount on the greatest product ever. Get it now.,fake
I am having connectivity drops with this device. I might return it.,genuine
"Great build quality, however I experienced battery issues recently.",genuine
Limited offer: incredible product ever. limited time offer!,fake
I was disappointed by the connectivity drops. I might return it.,genuine
"Great camera, however I experienced connectivity drops recently.",genuine
Don't miss out! amazing deal on the most amazing product ever. Limited offer.,fake
"Great user interface, however I experienced software bugs recently.",genuine
Order immediately: top-rated product ever. unbeatable bargain!,fake
I was disappointed by the overheating problems. Could be better.,genuine
I am having connectivity drops with this device. Could be better.,genuine
I was disappointed by the connectivity drops. It's very frustrating.,genuine
Buy now: greatest product ever. amazing deal!,fake
"I've never seen such an unbeatable bargain. Order immediately now, best item.",fake
I am having battery issues with this device. Hope it gets fixed.,genuine
"The screen is excellent, but it lack some features.",genuine
I am having battery issues with this device. I might return it.,genuine
"Overall, the user interface works well. Unfortunately, software bugs.",genuine
"The screen is crisp, but customer service was slow.",genuine
This is the incredible product ever! Buy now for an limited time offer.,fake
Limited offer: incredible product ever. special price!,fake
Unbelievable! most amazing product ever. Limited offer quickly.,fake
This is the most amazing product ever! Buy now for an amazing deal.,fake
"Great battery, however I experienced connectivity drops recently.",genuine
Unbelievable! incredible product ever. Order immediately quickly.,fake
"The battery is crisp, but the delivery was late.",genuine
"The build quality is crisp, but the delivery was late.",genuine
I was disappointed by the connectivity drops. Not what I expected.,genuine
I am having overheating problems with this device. It's very frustrating.,genuine
This is the top-rated product ever! Get it now for an huge discount.,fake
Don't miss out! special price on the most amazing product ever. Order immediately.,fake
This is the most amazing product ever! Limited offer for an amazing deal.,fake
"Overall, the user interface works well. Unfortunately, connectivity drops.",genuine
Don't miss out! amazing deal on the top-rated product ever. Get it now.,fake
This is the most amazing product ever! Buy now for an unbeatable bargain.,fake
"Great screen, however I experienced connectivity drops recently.",genuine
This is the greatest product ever! Get it now for an amazing deal.,fake
Shop today: incredible product ever. huge discount!,fake
"The camera is premium, but it lack some features.",genuine
I am having connectivity drops with this device. It's very frustrating.,genuine
"The screen is crisp, but the delivery was late.",genuine
Don't miss out! special price on the best product ever. Shop today.,fake
Order immediately: incredible product ever. huge discount!,fake
"I've never seen such an special price. Shop today now, most amazing item.",fake
"Overall, the screen works well. Unfortunately, delivery delays.",genuine
"Great build quality, however I experienced software bugs recently.",genuine
"Overall, the build quality works well. Unfortunately, software bugs.",genuine
Unbelievable! best product ever. Limited offer quickly.,fake
Shop today: greatest product ever. special price!,fake
"I've never seen such an special price. Shop today now, greatest item.",fake
Buy now: most amazing product ever. huge discount!,fake
Order immediately: greatest product ever. limited time offer!,fake
"I've never seen such an special price. Get it now now, greatest item.",fake
Shop today: greatest product ever. special price!,fake
"Overall, the user interface works well. Unfortunately, delivery delays.",genuine
Shop today: greatest product ever. amazing deal!,fake
"Great battery, however I experienced connectivity drops recently.",genuine
"Great battery, however I experienced overheating problems recently.",genuine
I was disappointed by the connectivity drops. It's very frustrating.,genuine
I am having software bugs with this device. I might return it.,genuine
This is the incredible product ever! Order immediately for an special price.,fake
Limited offer: best product ever. special price!,fake
"I've never seen such an limited time offer. Order immediately now, best item.",fake
I was disappointed by the connectivity drops. It's very frustrating.,genuine
"The user interface is premium, but the delivery was late.",genuine
I was disappointed by the battery issues. I might return it.,genuine
Limited offer: most amazing product ever. unbeatable bargain!,fake
Unbelievable! best product ever. Shop today quickly.,fake
I was disappointed by the battery issues. I might return it.,genuine
Order immediately: best product ever. huge discount!,fake
I was disappointed by the overheating problems. Not what I expected.,genuine
"The camera is solid, but it lack some features.",genuine
"Overall, the screen works well. Unfortunately, connectivity drops.",genuine
Order immediately: most amazing product ever. unbeatable bargain!,fake
This is the most amazing product ever! Buy now for an amazing deal.,fake
Unbelievable! incredible product ever. Get it now quickly.,fake
"Overall, the battery works well. Unfortunately, delivery delays.",genuine
Don't miss out! special price on the most amazing product ever. Order immediately.,fake
"Great battery, however I experienced overheating problems recently.",genuine
"I've never seen such an unbeatable bargain. Limited offer now, top-rated item.",fake
I was disappointed by the connectivity drops. Not what I expected.,genuine
Unbelievable! best product ever. Buy now quickly.,fake
Don't miss out! amazing deal on the most amazing product ever. Get it now.,fake
"I've never seen such an unbeatable bargain. Buy now now, incredible item.",fake
Unbelievable! best product ever. Order immediately quickly.,fake
"The camera is excellent, but customer service was slow.",genuine
"I've never seen such an limited time offer. Limited offer now, most amazing item.",fake
"I've never seen such an amazing deal. Shop today now, best item.",fake
"I've never seen such an amazing deal. Order immediately now, top-rated item.",fake
I was disappointed by the software bugs. Could be better.,genuine
Don't miss out! huge discount on the best product ever. Limited offer.,fake
"The camera is crisp, but it feels a bit heavy.",genuine
I am having software bugs with this device. Not what I expected.,genuine
I was disappointed by the delivery delays. Hope it gets fixed.,genuine
"The user interface is solid, but customer service was slow.",genuine
I am having software bugs with this device. Hope it gets fixed.,genuine
Unbelievable! best product ever. Buy now quickly.,fake
"I've never seen such an special price. Get it now now, greatest item.",fake
Unbelievable! greatest product ever. Limited offer quickly.,fake
Unbelievable! greatest product ever. Order immediately quickly.,fake
I am having battery issues with this device. Hope it gets fixed.,genuine
"Overall, the screen works well. Unfortunately, software bugs.",genuine
Unbelievable! best product ever. Get it now quickly.,fake
Limited offer: most amazing product ever. limited time offer!,fake
This is the most amazing product ever! Get it now for an special price.,fake
This is the top-rated product ever! Get it now for an amazing deal.,fake
"I've never seen such an special price. Get it now now, greatest item.",fake
This is the incredible product ever! Order immediately for an huge discount.,fake
"The build quality is premium, but customer service was slow.",genuine
Don't miss out! limited time offer on the incredible product ever. Shop today.,fake
Unbelievable! top-rated product ever. Order immediately quickly.,fake
I am having overheating problems with this device. Hope it gets fixed.,genuine
Buy now: greatest product ever. special price!,fake
"The build quality is excellent, but customer service was slow.",genuine
"I've never seen such an amazing deal. Buy now now, best item.",fake
"Great battery, however I experienced delivery delays recently.",genuine
This is the incredible product ever! Order immediately for an unbeatable bargain.,fake
"The user interface is solid, but the price is too high.",genuine
Don't miss out! unbeatable bargain on the greatest product ever. Limited offer.,fake
Unbelievable! greatest product ever. Order immediately quickly.,fake
Don't miss out! huge discount on the top-rated product ever. Order immediately.,fake
Don't miss out! unbeatable bargain on the best product ever. Buy now.,fake
"I've never seen such an limited time offer. Get it now now, best item.",fake
"Great screen, however I experienced delivery delays recently.",genuine
I am having overheating problems with this device. Not what I expected.,genuine
"I've never seen such an special price. Limited offer now, best item.",fake
I am having connectivity drops with this device. It's very frustrating.,genuine
This is the incredible product ever! Limited offer for an unbeatable bargain.,fake
Don't miss out! limited time offer on the top-rated product ever. Get it now.,fake
I was disappointed by the overheating problems. Not what I expected.,genuine
Buy now: incredible product ever. special price!,fake
"Great camera, however I experienced overheating problems recently.",genuine
I was disappointed by the software bugs. It's very frustrating.,genuine
"Overall, the battery works well. Unfortunately, delivery delays.",genuine
"Great build quality, however I experienced delivery delays recently.",genuine
"I've never seen such an unbeatable bargain. Get it now now, best item.",fake
Unbelievable! incredible product ever. Shop today quickly.,fake
"The battery is solid, but it feels a bit heavy.",genuine
"Great battery, however I experienced software bugs recently.",genuine
This is the greatest product ever! Get it now for an huge discount.,fake
I am having battery issues with this device. It's very frustrating.,genuine
"Great battery, however I experienced software bugs recently.",genuine
I was disappointed by the connectivity drops. Not what I expected.,genuine
This is the incredible product ever! Order immediately for an limited time offer.,fake
I am having connectivity drops with this device. Not what I expected.,genuine
I was disappointed by the software bugs. Could be better.,genuine
I am having delivery delays with this device. Hope it gets fixed.,genuine
"I've never seen such an special price. Shop today now, greatest item.",fake
"I've never seen such an limited time offer. Get it now now, best item.",fake
"Great build quality, however I experienced battery issues recently.",genuine
"Great screen, however I experienced overheating problems recently.",genuine
"The user interface is decent, but the delivery was late.",genuine
This is the most amazing product ever! Buy now for an limited time offer.,fake
I am having battery issues with this device. Could be better.,genuine
This is the greatest product ever! Shop today for an amazing deal.,fake
I am having connectivity drops with this device. Could be better.,genuine
"Overall, the user interface works well. Unfortunately, overheating problems.",genuine
I was disappointed by the connectivity drops. I might return it.,genuine
"I've never seen such an limited time offer. Limited offer now, top-rated item.",fake
This is the incredible product ever! Order immediately for an special price.,fake
I am having delivery delays with this device. Not what I expected.,genuine
Unbelievable! greatest product ever. Buy now quickly.,fake
Unbelievable! best product ever. Buy now quickly.,fake
"I've never seen such an limited time offer. Limited offer now, incredible item.",fake
This is the incredible product ever! Shop today for an limited time offer.,fake
Shop today: most amazing product ever. limited time offer!,fake
"I've never seen such an limited time offer. Order immediately now, top-rated item.",fake
"The user interface is crisp, but the price is too high.",genuine
I was disappointed by the software bugs. I might return it.,genuine
Don't miss out! huge discount on the greatest product ever. Buy now.,fake
I was disappointed by the overheating problems. It's very frustrating.,genuine
"Overall, the user interface works well. Unfortunately, connectivity drops.",genuine
This is the top-rated product ever! Order immediately for an huge discount.,fake
Buy now: top-rated product ever. huge discount!,fake
"Great battery, however I experienced overheating problems recently.",genuine
This is the best product ever! Get it now for an huge discount.,fake
Don't miss out! limited time offer on the best product ever. Limited offer.,fake
"The user interface is crisp, but it lack some features.",genuine
I was disappointed by the connectivity drops. It's very frustrating.,genuine
"Great screen, however I experienced overheating problems recently.",genuine
Order immediately: greatest product ever. huge discount!,fake
Unbelievable! top-rated product ever. Get it now quickly.,fake
Don't miss out! unbeatable bargain on the incredible product ever. Buy now.,fake
"Great screen, however I experienced software bugs recently.",genuine
"Great user interface, however I experienced battery issues recently.",genuine
"I've never seen such an limited time offer. Order immediately now, best item.",fake
"I've never seen such an limited time offer. Order immediately now, best item.",fake
"Overall, the camera works well. Unfortunately, delivery delays.",genuine
"The user interface is excellent, but it lack some features.",genuine
This is the best product ever! Limited offer for an limited time offer.,fake
"The user interface is excellent, but the price is too high.",genuine
Buy now: most amazing product ever. special price!,fake
Don't miss out! amazing deal on the best product ever. Shop today.,fake
"Great camera, however I experienced software bugs recently.",genuine
This is the best product ever! Order immediately for an unbeatable bargain.,fake
I am having connectivity drops with this device. Could be better.,genuine
"I've never seen such an limited time offer. Limited offer now, incredible item.",fake
"I've never seen such an special price. Order immediately now, best item.",fake
Don't miss out! limited time offer on the most amazing product ever. Buy now.,fake
I am having battery issues with this device. Hope it gets fixed.,genuine
Don't miss out! special price on the greatest product ever. Get it now.,fake
"Overall, the build quality works well. Unfortunately, battery issues.",genuine
I am having connectivity drops with this device. I might return it.,genuine
Buy now: incredible product ever. amazing deal!,fake
"The camera is excellent, but customer service was slow.",genuine
I was disappointed by the connectivity drops. It's very frustrating.,genuine
"Great build quality, however I experienced battery issues recently.",genuine
I was disappointed by the software bugs. It's very frustrating.,genuine
Don't miss out! special price on the best product ever. Get it now.,fake
"Overall, the screen works well. Unfortunately, connectivity drops.",genuine
"The battery is crisp, but it lack some features.",genuine
"Great user interface, however I experienced delivery delays recently.",genuine
"I've never seen such an special price. Get it now now, top-rated item.",fake
I was disappointed by the overheating problems. It's very frustrating.,genuine
Unbelievable! top-rated product ever. Limited offer quickly.,fake
"Overall, the build quality works well. Unfortunately, delivery delays.",genuine
This is the greatest product ever! Limited offer for an special price.,fake
"Overall, the screen works well. Unfortunately, overheating problems.",genuine
Unbelievable! most amazing product ever. Get it now quickly.,fake
Get it now: best product ever. amazing deal!,fake
Unbelievable! top-rated product ever. Order immediately quickly.,fake
"Overall, the camera works well. Unfortunately, overheating problems.",genuine
Don't miss out! special price on the best product ever. Order immediately.,fake
I was disappointed by the delivery delays. Could be better.,genuine
I was disappointed by the delivery delays. Not what I expected.,genuine
I was disappointed by the delivery delays. I might return it.,genuine
"The user interface is decent, but it feels a bit heavy.",genuine
Limited offer: incredible product ever. unbeatable bargain!,fake
This is the most amazing product ever! Limited offer for an special price.,fake
"The screen is crisp, but customer service was slow.",genuine
This is the top-rated product ever! Order immediately for an special price.,fake
"The build quality is solid, but the delivery was late.",genuine
This is the best product ever! Get it now for an unbeatable bargain.,fake
Unbelievable! incredible product ever. Get it now quickly.,fake
"The battery is decent, but the price is too high.",genuine
